id,x-ini,y-ini,x-goal,y-goal,x-end,y-end,L0-path,L1-path,td,tsh,zt,C
(adult 316),223,-61,152,-31,152,-31,113,113,36,44.7,-99,0
(adult 739),112,-206,135,-31,135,-31,185,185,31,44.7,-99,0
(adult 614),208,-106,152,-31,152,-31,84,84,38,44.8,-99,0
(adult 1174),160,-103,152,-31,152,-31,105,105,37,44.8,-99,0
(adult 2526),162,-64,152,-31,152,-31,34,34,42,44.8,-99,0
(adult 1517),129,-137,135,-31,135,-31,112,112,36,44.8,-99,0
(adult 950),253,-64,152,-31,152,-31,141,141,34,44.9,-99,0
(adult 849),133,-170,135,-31,135,-31,179,179,32,45,-99,0
(adult 1381),100,-190,135,-31,135,-31,162,162,33,45,-99,0
(adult 1016),168,-156,152,-31,152,-31,162,162,33,45,-99,0
(adult 760),108,-102,135,-31,135,-31,79,79,39,45.1,-99,0
(adult 2507),33,-215,135,-31,135,-31,191,191,30,45.1,-99,0
(adult 501),234,-46,152,-31,152,-31,133,133,35,45.1,-99,0
(adult 1044),23,-209,135,-31,135,-31,210,210,29,45.1,-99,0
(adult 444),110,-63,135,-31,135,-31,43,43,42,45.2,-99,0
(adult 175),233,-65,152,-31,152,-31,120,120,36,45.2,-99,0
(adult 2002),135,-177,135,-31,135,-31,181,181,32,45.2,-99,0
(adult 1722),230,-122,152,-31,152,-31,114,114,36,45.2,-99,0
(adult 2561),105,-31,135,-31,135,-31,32,32,43,45.2,-99,0
(adult 591),65,-129,135,-31,135,-31,137,137,35,45.2,-99,0
(adult 1218),141,-124,135,-31,135,-31,111,111,37,45.2,-99,0
(adult 1676),246,-65,152,-31,152,-31,134,134,35,45.2,-99,0
(adult 2168),127,-191,135,-31,135,-31,196,196,31,45.2,-99,0
(adult 2069),167,-107,152,-31,152,-31,112,112,37,45.2,-99,0
(adult 2329),83,-136,135,-31,135,-31,127,127,36,45.2,-99,0
(adult 391),181,-53,152,-31,152,-31,66,66,40,45.3,-99,0
(adult 1199),173,-151,152,-31,152,-31,150,150,34,45.3,-99,0
(adult 282),202,-90,152,-31,152,-31,78,78,39,45.3,-99,0
(adult 2418),82,-138,135,-31,135,-31,128,128,36,45.4,-99,0
(adult 1766),67,-102,135,-31,135,-31,100,100,38,45.4,-99,0
(adult 1090),104,-37,135,-31,135,-31,33,33,43,45.5,-99,0
(adult 692),32,-189,135,-31,135,-31,193,193,31,45.5,-99,0
(adult 332),70,-119,135,-31,135,-31,128,128,36,45.5,-99,0
